Product_Type,Brand,Build_Quality,User_Lifespan,Usage_Pattern,Expiry_Years,Condition,Original_Price,Used_Duration,Current_Price
Laptop,HP,1,6.9,Moderate,7.000000000000001,3,118741,12,500.0
Smartphone,OnePlus,5,3.9,Moderate,4.800000000000001,5,73040,4,12173.33
Laptop,Lenovo,3,6.1,Moderate,6.6,1,83604,5,8107.05
TV,OnePlus,5,13.7,Heavy,14.399999999999999,2,120656,1,61752.41
DSLR Camera,Sony,2,9.7,Moderate,10.0,2,83435,6,21359.36
TV,Sony,3,12.0,Moderate,12.5,2,122807,7,29719.29
Electric Scooter,TVS,5,6.2,Light,7.2,5,144252,12,500.0
TV,Samsung,4,8.5,Light,9.3,3,58595,3,27785.37
TV,Samsung,4,9.4,Heavy,9.9,2,115735,5,31505.64
DSLR Camera,Fujifilm,1,7.6,Moderate,7.7,2,104108,2,49322.86
TV,Samsung,1,8.4,Light,8.6,3,65501,6,13861.84
Electric Scooter,Hero,1,7.1,Moderate,7.2,4,155865,7,3680.15
Air Conditioner,Blue Star,4,14.3,Heavy,14.8,1,39000,9,6113.51
Washing Machine,Samsung,4,11.7,Moderate,12.4,1,26740,4,7245.68
Air Conditioner,Daikin,4,12.3,Light,13.100000000000001,1,58876,12,1977.51
Washing Machine,LG,2,9.1,Light,9.5,2,59431,6,12042.6
Electric Scooter,Bajaj,5,4.2,Moderate,5.1000000000000005,5,78259,2,47569.2
TV,Sony,1,11.6,Heavy,11.499999999999998,3,113717,6,38070.47
DSLR Camera,Sony,1,7.6,Light,7.8,3,77698,2,43909.33
DSLR Camera,Sony,2,9.1,Heavy,9.2,2,97033,11,500.0
Air Conditioner,Daikin,3,10.9,Moderate,11.4,1,45477,2,14999.43
Tablet,Lenovo,1,5.6,Moderate,5.7,4,47659,4,11655.55
Microwave,Morphy Richards,5,5.8,Light,6.8,4,6753,10,500.0
Air Conditioner,Voltas,3,9.0,Heavy,9.299999999999999,5,47654,6,16909.48
Smartwatch,Noise,2,4.3,Moderate,4.6000000000000005,2,29317,12,500.0
Laptop,Apple,1,6.0,Light,6.2,5,104233,12,500.0
DSLR Camera,Fujifilm,5,6.5,Moderate,7.4,3,124544,8,500.0
Electric Scooter,Hero,5,7.3,Moderate,8.200000000000001,4,93667,6,21360.65
Washing Machine,IFB,2,8.6,Light,9.0,5,43401,4,24111.67
Air Conditioner,LG,1,11.8,Moderate,11.9,4,44281,1,34475.92
Gaming Console,Sony,3,4.3,Heavy,4.6000000000000005,5,60835,9,500.0
DSLR Camera,Canon,2,8.7,Heavy,8.799999999999999,5,122222,1,108333.14
Smartphone,Vivo,3,2.8,Moderate,3.3,5,17507,11,500.0
Tablet,Apple,5,6.3,Moderate,7.2,5,24130,10,500.0
Microwave,LG,5,7.2,Light,8.2,3,10518,6,1975.33
Electric Scooter,Bajaj,3,5.0,Heavy,5.3,3,109615,8,500.0
Washing Machine,IFB,5,10.4,Light,11.4,5,57587,1,52535.51
Air Conditioner,Blue Star,5,11.1,Heavy,11.799999999999999,4,35234,12,500.0
Refrigerator,Bosch,2,8.0,Heavy,8.1,1,50336,8,500.0
TV,TCL,5,9.9,Heavy,10.6,5,151067,2,122563.79
Laptop,Lenovo,5,4.8,Heavy,5.5,2,140390,12,500.0
Tablet,Apple,5,6.5,Light,7.5,2,53476,11,500.0
Smartwatch,Amazfit,1,2.4,Heavy,2.3000000000000003,5,4685,9,500.0
Tablet,Apple,3,5.9,Light,6.5,2,54153,5,5748.55
DSLR Camera,Sony,2,8.6,Moderate,8.9,2,57066,10,500.0
DSLR Camera,Fujifilm,3,6.0,Moderate,6.5,5,153676,4,59106.15
Air Conditioner,Voltas,1,10.0,Moderate,10.1,5,42394,5,21406.87
Laptop,Acer,1,3.6,Light,3.8000000000000003,2,38624,11,500.0
Tablet,Huawei,2,3.7,Light,4.1000000000000005,1,36025,9,500.0
Microwave,Morphy Richards,1,5.4,Heavy,5.300000000000001,5,28695,10,500.0
Smartphone,Vivo,5,3.0,Light,4.0,1,8626,11,500.0
TV,Sony,2,8.8,Moderate,9.100000000000001,4,106874,4,50911.95
Washing Machine,Whirlpool,2,13.1,Heavy,13.2,4,46955,7,18746.43
Refrigerator,Samsung,4,8.7,Light,9.5,1,76752,12,500.0
Microwave,Panasonic,5,8.9,Heavy,9.6,2,24492,3,9261.04
Gaming Console,Microsoft,5,3.7,Heavy,4.4,2,33634,4,1956.89
Tablet,Lenovo,5,3.6,Heavy,4.3,1,43465,7,500.0
Microwave,IFB,4,5.7,Moderate,6.4,3,23232,5,3557.4
Washing Machine,IFB,4,14.3,Moderate,15.000000000000002,4,20311,8,8056.7
Electric Scooter,Ather,2,4.8,Heavy,4.9,2,117834,1,51582.43
Tablet,Apple,3,6.9,Heavy,7.2,1,16256,9,500.0
Laptop,Dell,1,6.6,Moderate,6.7,2,82510,5,11514.46
Smartwatch,Amazfit,1,3.9,Moderate,3.9999999999999996,4,21954,4,500.0
Air Conditioner,Blue Star,4,8.3,Heavy,8.8,1,36731,8,1335.67
Tablet,Samsung,2,5.9,Moderate,6.200000000000001,4,23592,10,500.0
DSLR Camera,Canon,4,8.9,Moderate,9.600000000000001,1,171931,2,70778.26
Refrigerator,Bosch,5,11.7,Heavy,12.399999999999999,3,46310,12,1045.71
Microwave,Samsung,4,6.0,Heavy,6.5,4,11281,4,3688.02
Air Conditioner,Daikin,5,9.8,Heavy,10.5,1,52403,8,4990.76
Electric Scooter,Bajaj,5,4.2,Heavy,4.9,2,128512,8,500.0
Electric Scooter,Ola,1,5.9,Moderate,6.000000000000001,5,98881,10,500.0
Laptop,Dell,1,6.9,Light,7.1000000000000005,1,123661,1,42497.58
Air Conditioner,Voltas,1,12.6,Light,12.799999999999999,3,44056,5,18792.64
Air Conditioner,Blue Star,3,11.8,Heavy,12.1,3,46558,2,27203.72
Electric Scooter,Ather,5,7.9,Light,8.9,4,88866,4,41587.29
Laptop,Lenovo,3,5.1,Heavy,5.3999999999999995,1,47029,6,500.0
Refrigerator,LG,3,14.4,Light,15.0,5,58635,7,31272.0
DSLR Camera,Nikon,1,5.7,Moderate,5.800000000000001,5,177006,3,85451.17
Tablet,Apple,4,4.2,Moderate,4.9,5,69587,11,500.0
Tablet,Lenovo,5,5.3,Light,6.3,1,33498,3,4913.04
Tablet,Lenovo,4,3.9,Light,4.7,4,64732,6,500.0
Gaming Console,Microsoft,2,4.8,Light,5.2,2,61007,9,500.0
TV,Samsung,1,14.7,Light,14.899999999999999,3,179073,8,58048.5
Electric Scooter,Bajaj,5,5.4,Light,6.4,3,70966,8,500.0
Microwave,Panasonic,5,7.7,Light,8.7,2,15727,1,7655.61
Gaming Console,Nintendo,5,4.0,Moderate,4.9,3,51548,6,500.0
Microwave,LG,5,8.0,Heavy,8.7,4,9486,2,6209.51
Smartwatch,Noise,4,2.2,Light,3.0,3,19037,3,500.0
DSLR Camera,Sony,4,6.7,Light,7.5,5,189781,5,63260.33
TV,Samsung,3,14.1,Heavy,14.399999999999999,2,181848,5,65288.48
Microwave,IFB,2,5.0,Moderate,5.300000000000001,3,24788,6,500.0
Gaming Console,Nintendo,5,6.0,Light,7.0,3,69547,8,500.0
Smartwatch,Boat,3,4.3,Moderate,4.800000000000001,2,15372,9,500.0
DSLR Camera,Nikon,5,7.6,Light,8.6,1,140191,3,47469.32
Tablet,Lenovo,3,6.0,Light,6.6,5,40503,11,500.0
TV,OnePlus,4,13.8,Moderate,14.500000000000002,5,143666,6,84218.0
Microwave,LG,1,8.0,Heavy,7.8999999999999995,3,12009,5,3085.86
Washing Machine,LG,4,11.0,Moderate,11.700000000000001,4,32196,2,22688.55
Air Conditioner,Voltas,3,13.5,Moderate,14.0,2,56894,2,26821.46
DSLR Camera,Nikon,5,9.1,Heavy,9.799999999999999,5,112794,1,101284.41
Laptop,Asus,5,3.9,Moderate,4.800000000000001,2,141887,10,500.0
Laptop,HP,4,4.5,Moderate,5.2,3,142261,5,3830.1
DSLR Camera,Nikon,2,7.3,Light,7.7,1,46415,5,8463.2
Smartphone,Apple,1,4.9,Heavy,4.800000000000001,3,33621,12,500.0
Gaming Console,Nintendo,1,6.2,Light,6.4,1,57936,2,20712.12
DSLR Camera,Canon,2,5.5,Heavy,5.6000000000000005,3,113700,9,500.0
DSLR Camera,Fujifilm,5,7.6,Light,8.6,5,164448,5,68838.7
Smartwatch,Samsung,1,2.6,Light,2.8000000000000003,3,13184,1,5424.27
Microwave,Samsung,4,8.6,Light,9.4,2,6218,4,1964.62
